name,Economic Activity,Emission value,total_emission_mt,categories,confidence,num_categories
"1,2-Hexanediol",microbial fermentation,1.1513878122192027,10.362490309972825,"Public Electricity Generation, Enteric Fermentation, Intermittent Multiple Aeration, Intermittent Single Aeration, Cropland Plantations Remaining Cropland Plantations, Other Land Converted to Cropland Plantations, Coal -OC, Coal, Coal and Lignite",medium,9
4-T-Butylcyclohexanol,synthetic fragrance compound,0.034685379,0.10405613613704343,"Chemicals & fertilisers, Petroleum, Industries",high,3
Acer Saccharum Extract,plant extract,0.079509909,0.23852972845267367,"Agriculture, Food Processing, Beverages and Tobacco, Transport",high,3
Acetyl Dipeptide-1 Cetyl Ester,synthetic peptide,0.24824444444444446,0.24824444444444446,Enteric Fermentation,medium,1
Acetyl Glucosamine,shellfish chitin,0,0,Fish processing,medium,1
Acetyl Hexapeptide-1,synthetic peptide,0.24824444444444446,0.24824444444444446,Enteric Fermentation,medium,1
Acetyl Hexapeptide-8,synthetic peptide,0.24824444444444446,0.24824444444444446,Enteric Fermentation,medium,1
Acrylamide/Sodium Acryloyldimethyltaurate Copolymer,synthetic polymer,0.354514694,1.0635440816326531,"Chemicals & fertilisers, Ethylene, Carbon Black",high,3
Acrylates/Vinyl Isodecanoate Crosspolymer,synthetic polymer,0.354514694,1.0635440816326531,"Chemicals & fertilisers, Ethylene, Carbon Black",high,3
Adansonia Digitata Seed Oil,plant oil,0.079509909,0.23852972845267367,"Agriculture, Food Processing, Beverages and Tobacco, Transport",high,3
Adenosine,microbial fermentation,1.1513878122192027,10.362490309972825,"Public Electricity Generation, Enteric Fermentation, Intermittent Multiple Aeration, Intermittent Single Aeration, Cropland Plantations Remaining Cropland Plantations, Other Land Converted to Cropland Plantations, Coal -OC, Coal, Coal and Lignite",medium,9
Adenosine Phosphate,microbial fermentation,1.1513878122192027,10.362490309972825,"Public Electricity Generation, Enteric Fermentation, Intermittent Multiple Aeration, Intermittent Single Aeration, Cropland Plantations Remaining Cropland Plantations, Other Land Converted to Cropland Plantations, Coal -OC, Coal, Coal and Lignite",medium,9
Alanine,microbial fermentation,1.1513878122192027,10.362490309972825,"Public Electricity Generation, Enteric Fermentation, Intermittent Multiple Aeration, Intermittent Single Aeration, Cropland Plantations Remaining Cropland Plantations, Other Land Converted to Cropland Plantations, Coal -OC, Coal, Coal and Lignite",medium,9
Alcohol,plant fermentation,-0.021337583,-0.490764406,"Public Electricity Generation, Biomass Burning in Cropland, Enteric Fermentation, Forest Land, Biomass Burning in Forest Land, Cropland, Other Land, Intermittent Multiple Aeration, Intermittent Single Aeration, Upland, Forest Land Remaining Forest Land and Land Converted to Forest Land, Cropland Remaining Cropland, Cropland Plantations Remaining Cropland Plantations, Forest Land Converted to Cropland, Other Land Converted to Cropland, Other Land Converted to Cropland Plantations, Other Land Converted to Grassland, Cropland Converted to Settlements, Other Land Converted to Settlements, Other Land Remaining Other Land, Cropland Converted to Other Land, Grassland Converted to Other Land, Settlement Converted to Other Land",medium,23
Alcohol Denat.,plant fermentation,-0.021337583,-0.490764406,"Public Electricity Generation, Biomass Burning in Cropland, Enteric Fermentation, Forest Land, Biomass Burning in Forest Land, Cropland, Other Land, Intermittent Multiple Aeration, Intermittent Single Aeration, Upland, Forest Land Remaining Forest Land and Land Converted to Forest Land, Cropland Remaining Cropland, Cropland Plantations Remaining Cropland Plantations, Forest Land Converted to Cropland, Other Land Converted to Cropland, Other Land Converted to Cropland Plantations, Other Land Converted to Grassland, Cropland Converted to Settlements, Other Land Converted to Settlements, Other Land Remaining Other Land, Cropland Converted to Other Land, Grassland Converted to Other Land, Settlement Converted to Other Land",medium,23
Algae Extract,marine algae,0.009186213,0.055117278,"Carbide Production, Manure Management, Rainfed Drought Prone, Rainfed Flood Prone , Maize, Machinery",medium,6
Allantoin,plant extract,0.079509909,0.23852972845267367,"Agriculture, Food Processing, Beverages and Tobacco, Transport",high,3
Allium Cepa Bulb Extract,plant extract,0.079509909,0.23852972845267367,"Agriculture, Food Processing, Beverages and Tobacco, Transport",high,3
Aloe Barbadensis Flower Extract,plant extract,0.079509909,0.23852972845267367,"Agriculture, Food Processing, Beverages and Tobacco, Transport",high,3
Aloe Barbadensis Leaf Extract,plant extract,0.079509909,0.23852972845267367,"Agriculture, Food Processing, Beverages and Tobacco, Transport",high,3
Aloe Barbadensis Leaf Juice,plant extract,0.079509909,0.23852972845267367,"Agriculture, Food Processing, Beverages and Tobacco, Transport",high,3
Aloe Barbadensis Leaf Juice Powder,plant extract,0.079509909,0.23852972845267367,"Agriculture, Food Processing, Beverages and Tobacco, Transport",high,3
Aloe Barbadensis Leaf Water,plant extract,0.079509909,0.23852972845267367,"Agriculture, Food Processing, Beverages and Tobacco, Transport",high,3
Alpha-Arbutin,plant extract,0.079509909,0.23852972845267367,"Agriculture, Food Processing, Beverages and Tobacco, Transport",high,3
Alpha-Isomethyl Ionone,synthetic fragrance compound,0.034685379,0.10405613613704343,"Chemicals & fertilisers, Petroleum, Industries",high,3
Alumina,mineral processing,0.000140789,0.000563158,"Other Process Uses of Carbonates, Fish processing, Food Processing, Beverages and Tobacco, Machinery",medium,4
Aluminum Hydroxide,mineral processing,0.000140789,0.000563158,"Other Process Uses of Carbonates, Fish processing, Food Processing, Beverages and Tobacco, Machinery",medium,4
